,,,,,,,,,,,,,,
,管理ID,関連管理ID,区分,重要度,起票日,ステータス,ボール保持者,件名,詳細内容 / 質問,顧客確認 / 回答,開発回答 / 状況,期限,完了日,備考
,No.11,No.4,課題,中,2026/07/08,未着手,RA,W-03: 作業報告画面,写真一枚一枚に対してのコメント(それと別で備考はあっても良い),,,,,
,No.12,No.3,課題,中,2026/07/08,未着手,RA,W-04: 勤務履歴画面,時間を入れると時給計算の時間とずれるかも,,,,,
,No.13,,課題,中,2026/07/08,未着手,RA,A-02: 勤務実績画面,「日」「週」「月」は月だけでいいのでは？,,,,,
,No.14,No.4,課題,中,2026/07/08,未着手,RA,A-04: 現場管理画面,日付で紐づけるので、カレンダー機能が必要,,,,,
,No.15,No.4,課題,中,2026/07/08,未着手,RA,A-05: 割り振り画面,ここで割り振ったのであれば、W-03作業報告画面の現場は自動入力か、W-02の現場選択画面でハイライトで強調するなど紐づける。,,,,,
,No.16,No.4,Q&A,中,2026/07/08,確認中（RA）,RA,一日の流れを確認したい,"朝ミから始まり、退勤するまでの流れをお聞きしたいです。
→現在の運用方法/作業フローをできるだけ崩さず、
　ツールに実装することで管理の手間を軽減させたい。

　ex. 朝ミ(事務所)->現場移動->管理者へ開始の連絡->作業開始->作業完了後、完了した旨を報告し承認待ち->承認を受けたら次現場へ移動->以下同じ流れを実施し、最終的に退勤の連絡(電話？)",No.8にて回答,,,,
,No.17,No.18,Q&A,中,2026/07/08,確認中（RA）,RA,手当てと交通費について,"手当てと交通費について、人によっては支給するようなお話がありましたが、
入力するような箇所は必要でしょうか。","【交通費】
自宅→事務所：日数×手当(手当は変動する)
事務所→現場移動は車の燃料代くらいなので、不要では","【事実ベース】
手当は変動するため、自動で反映させることは難しい。
移動のために使用している車に関しても、燃料代程度であるため、アプリ上で交通費の管理は不要。",,,
,No.18,No.17,Q&A,中,2026/07/08,確認中（RA）,RA,時給計算について,"excelで時給を計算するか、ツールの管理画面側にも出力するのか
機能実装における希望をお聞きしたいです。","毎月10日〆

給与明細はエクセルデータとして出力しPDF化、LINEで渡している。
+当月の手当の追加や余分な部分を削除。所得税、etc...

手渡しと振込の2パターンある。
※振り込みは現状マリクだけ(+日本人？)

→個人が明細をアプリ上で見れるようになれば、LINE手渡しの手間が減る【別課題での起票対象？】","【事実ベース】
・給与計算は毎月10日締めで行っている。
・給与明細はExcelで作成し、PDF化している。
・PDF化した給与明細は、従業員へLINEで個別に送付している。
・給与明細には、当月の手当を追加している。
・所得税などの控除項目も反映している。
・給与の支払い方法は、現金手渡しと銀行振込の2種類がある。※現時点で、マリクさんは銀行振込である。

【意見ベース】
・従業員が、自分の給与明細をシステム上で閲覧できる機能を実装する。
・管理者が従業員ごとの給与明細をアプリ上で、対象者だけが閲覧できる形がよい。
・この機能により、LINEで給与明細を個別送付する手間を削減できる。
・初期段階では、給与計算自体は現在のExcel運用を継続し、完成したPDFの登録・閲覧機能のみを実装する方がよい。
",,,
,No.19,,Q&A,中,2026/07/08,確認中（RA）,RA,現状のカレンダー管理方法について,"カレンダーアプリで何をどのように管理しているのかを確認したい
→現在の運用方法/作業フローをできるだけ崩さず、
　ツールに実装することで管理の手間を軽減させたい。",,"
【アカウントラーズへの追加問合せ】
ヒアリング漏れのため、
カレンダーアプリで何をメモしているのか、スクショ等があれば共有してもらうよう依頼が必要。",,,
,No.20,,Q&A,中,2026/07/08,確認中（RA）,RA,今回のツールにより実現できる収集データによる人事考課の指標追加について,"既存の人事考課評価基準に加え、新たな人事評価の指標を加えられないか？
(この人が担当していると作業の質や時間効率が良い、現場移動の実態が掴みにくい等のお話をいただいたため)

【提案アイデア】
・作業報告自体の質が良いかどうかという指標を管理側が簡単にランク付けでき、
　月末時/人事考課/体制変更時にデータとして確認できる
　→[人材育成/体制構築の補助]報告自体も評価の対象とすることで、
　　モチベーションアップや責任感の自覚、成長への意欲を促す

・担当箇所による難易度×成果の質×時間による指標を組み合わせることで、相対的な評価を実現","
・作業指示書を受領した時点で、作業難易度の判断は可能か？
　→1LDKや2LDKのように広さの観点もあるが、汚いキレイの問題もある。
　　管理者が全てを事前に確認することは現実的ではない。

・作業時間や差戻しと担当者のデータを組み合わせることで、
　相対的な評価ができること自体は問題ないのでは。
・成果物(作業報告)に対して、簡単にランク付けできるようにするのはどうか？

・重要視しているのは、安全/速さ/品質や対応可能な作業の幅であり、
　作業報告の質に関しては、安全に含まれる。
　現状、評価基準をアプリにそのまま落とし込むのも難しいが、
　ランク付けは実装した方が良いのではないか。
　(人数が増えた際にも管理者の負荷を下げられる)
　アナログで評価している部分もアプリ上でデータを蓄積した方が、
　長い目で見たときに良いのではないか。
　
　ランク付けは管理者の作業後現場確認の際に実施。
　ランク付けの判断基準(なぜBなのかCなのか)を記載できる備考欄を追加。
　※現状、問題のあった部分はLINEで周知している。(ここ直して等)

　完了報告の写真は必要ないが、エビデンスとしての写真(元々壊れてた等)
　は作業報告に添付させたい。
　※現状はLINEで作業員が管理者へ報告している。

　評価対象としては、物件単体で良い。
","【事実ベース】
・現在重視している評価項目は、**安全・速さ・品質・対応可能な作業の幅**である。
・作業報告の質は、「安全」の評価に含まれる。
・作業前に難易度を正確に判断することは難しい。←部屋の広さだけでなく、汚れ具合にも左右されるため。
・現在、問題点や修正箇所はLINEで作業員へ連絡している。
・作業後の現場確認は管理者が行っている。
・完了報告用の写真は不要だが、破損などの証拠写真は作業報告に添付したい。
・評価は、物件単位で行う。

【意見ベース】
・管理者が作業後の現場確認時に、物件ごとの作業結果をランク付けできるようにする。
・ランクの理由を記録できる備考欄を設ける。
・作業時間、差戻し、担当者、評価ランクを組み合わせて、相対的な評価に活用する。
・現在アナログで行っている評価をアプリ上に蓄積することで、将来的な人事考課や体制変更に活用できる。
・従業員数が増えた場合でも、管理者の評価・確認負担を減らせる可能性がある。
・人事評価基準の完全なシステム化は難しいため、まずは簡単なランク付けと記録機能から実装する。
",,,
,No.21,,,,,,,,,,,,,
,No.22,,,,,,,,,,,,,
,No.23,,,,,,,,,,,,,
,No.24,,,,,,,,,,,,,
,No.25,,,,,,,,,,,,,
,No.26,,,,,,,,,,,,,
,No.27,,,,,,,,,,,,,
,No.28,,,,,,,,,,,,,
,No.29,,,,,,,,,,,,,
,No.30,,,,,,,,,,,,,
,No.31,,,,,,,,,,,,,
,No.32,,,,,,,,,,,,,
,No.33,,,,,,,,,,,,,
,No.34,,,,,,,,,,,,,
,No.35,,,,,,,,,,,,,
,No.36,,,,,,,,,,,,,
,No.37,,,,,,,,,,,,,
,No.38,,,,,,,,,,,,,
,No.39,,,,,,,,,,,,,
,No.40,,,,,,,,,,,,,
,No.41,,,,,,,,,,,,,
,No.42,,,,,,,,,,,,,
,No.43,,,,,,,,,,,,,
,No.44,,,,,,,,,,,,,
,No.45,,,,,,,,,,,,,
,No.46,,,,,,,,,,,,,
,No.47,,,,,,,,,,,,,
,No.48,,,,,,,,,,,,,
,No.49,,,,,,,,,,,,,
,No.50,,,,,,,,,,,,,
,No.51,,,,,,,,,,,,,
,No.52,,,,,,,,,,,,,
,No.53,,,,,,,,,,,,,
,No.54,,,,,,,,,,,,,
,No.55,,,,,,,,,,,,,
,No.56,,,,,,,,,,,,,
,No.57,,,,,,,,,,,,,
,No.58,,,,,,,,,,,,,
,No.59,,,,,,,,,,,,,
,No.60,,,,,,,,,,,,,
,No.61,,,,,,,,,,,,,
,No.62,,,,,,,,,,,,,
,No.63,,,,,,,,,,,,,
,No.64,,,,,,,,,,,,,
,No.65,,,,,,,,,,,,,
,No.66,,,,,,,,,,,,,
,No.67,,,,,,,,,,,,,
,No.68,,,,,,,,,,,,,
,No.69,,,,,,,,,,,,,
,No.70,,,,,,,,,,,,,
,No.71,,,,,,,,,,,,,
,No.72,,,,,,,,,,,,,
,No.73,,,,,,,,,,,,,
,No.74,,,,,,,,,,,,,
,No.75,,,,,,,,,,,,,
,No.76,,,,,,,,,,,,,
,No.77,,,,,,,,,,,,,
,No.78,,,,,,,,,,,,,
,No.79,,,,,,,,,,,,,
,No.80,,,,,,,,,,,,,
,No.81,,,,,,,,,,,,,
,No.82,,,,,,,,,,,,,
,No.83,,,,,,,,,,,,,
,No.84,,,,,,,,,,,,,
,No.85,,,,,,,,,,,,,
,No.86,,,,,,,,,,,,,
,No.87,,,,,,,,,,,,,
,No.88,,,,,,,,,,,,,
,No.89,,,,,,,,,,,,,
,No.90,,,,,,,,,,,,,
,No.91,,,,,,,,,,,,,
,No.92,,,,,,,,,,,,,
,No.93,,,,,,,,,,,,,
,No.94,,,,,,,,,,,,,
,No.95,,,,,,,,,,,,,
,No.96,,,,,,,,,,,,,
