,,,,,,,,,,,,,
,管理ID,区分,重要度,起票日,ステータス,ボール保持者,件名,詳細内容 / 質問,開発回答 / 状況,顧客確認 / 回答,期限,完了日,備考
,No.51,,,,,,,,,,,,
,No.52,,,,,,,,,,,,
,No.53,,,,,,,,,,,,
,No.54,,,,,,,,,,,,
,No.55,,,,,,,,,,,,
,No.56,,,,,,,,,,,,
,No.57,,,,,,,,,,,,
,No.58,,,,,,,,,,,,
,No.59,,,,,,,,,,,,
,No.60,,,,,,,,,,,,
,No.61,,,,,,,,,,,,
,No.62,,,,,,,,,,,,
,No.63,,,,,,,,,,,,
,No.64,,,,,,,,,,,,
,No.65,,,,,,,,,,,,
,No.66,,,,,,,,,,,,
,No.67,,,,,,,,,,,,
,No.68,,,,,,,,,,,,
,No.69,,,,,,,,,,,,
,No.70,,,,,,,,,,,,
,No.71,,,,,,,,,,,,
,No.72,,,,,,,,,,,,
,No.73,,,,,,,,,,,,
,No.74,,,,,,,,,,,,
,No.75,,,,,,,,,,,,
,No.76,,,,,,,,,,,,
,No.77,,,,,,,,,,,,
,No.78,,,,,,,,,,,,
,No.79,,,,,,,,,,,,
,No.80,,,,,,,,,,,,
,No.81,,,,,,,,,,,,
,No.82,,,,,,,,,,,,
,No.83,,,,,,,,,,,,
,No.84,,,,,,,,,,,,
,No.85,,,,,,,,,,,,
,No.86,,,,,,,,,,,,
,No.87,,,,,,,,,,,,
,No.88,,,,,,,,,,,,
,No.89,,,,,,,,,,,,
,No.90,,,,,,,,,,,,
,No.91,,,,,,,,,,,,
,No.92,,,,,,,,,,,,
,No.93,,,,,,,,,,,,
,No.94,,,,,,,,,,,,
,No.95,,,,,,,,,,,,
,No.96,,,,,,,,,,,,
,No.97,,,,,,,,,,,,
,No.98,,,,,,,,,,,,
,No.99,,,,,,,,,,,,
,No.100,,,,,,,,,,,,
